,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
143,Sparx,Sparx Mens Sx0421g Sneaker,₹769.00,30 Days Returns & Exchange,"FREE delivery Wednesday, 30 November Or fastest delivery Sunday, 27 November. Order within 13 hrs 44 mins","FREE delivery Wednesday, 30 November. Or fastest delivery Sunday, 27 November. Order within 13 hrs 44 mins. ",https://www.amazon.in/Sparx-Mens-Silver-Sneakers-9-SX0421G_TBSL0009/dp/B07YM2G3V4/ref=sr_1_101?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-101
144,Sparx,Sparx Mens Sm-702 Sneaker,₹874.00,30 Days Returns & Exchange,"FREE delivery Saturday, 26 November Or fastest delivery Tomorrow, November 25. Order within 1 hr 9 mins","FREE delivery Saturday, 26 November. Or fastest delivery Tomorrow, November 25. Order within 1 hr 9 mins. ",https://www.amazon.in/Sparx-SM-702-Atlantic-Sports-SX0702G_ABNB_0008/dp/B09H7L9NHL/ref=sr_1_102?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-102
145,Campus,Campus Men's Royce-2 Running Shoes,₹799.00,30 Days Returns & Exchange,"FREE delivery Saturday, 26 November Or fastest delivery Tomorrow, November 25. Order within 14 mins","FREE delivery Saturday, 26 November. Or fastest delivery Tomorrow, November 25. Order within 14 mins. ",https://www.amazon.in/Campus-Royce-2-Running-Shoes-8-CG-248/dp/B07NQYX4L3/ref=sr_1_103?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-103
146,-,-,-,-,-,-,https://www.amazon.in/ASIAN-Wind-03-Running-Walking-Lightweight/dp/B09X5XKX88/ref=sr_1_104?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-104
147,BATA,BATA Men's Formal Dress Slip On Shoes,₹950.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November","FREE delivery Sunday, 27 November. ",https://www.amazon.in/BATA-851-6012-42-Black-Formal-Dress/dp/B08H5NMWSL/ref=sr_1_105?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-105
148,ASIAN,"ASIAN Men's BLADE-10 Running,Walking,Gym,Training,Casual,Sports Shoes",₹629.00,30 Days Returns & Exchange,"FREE delivery Sunday, 27 November Or fastest delivery Saturday, 26 November. Order within 1 hr 58 mins","FREE delivery Sunday, 27 November. Or fastest delivery Saturday, 26 November. Order within 1 hr 58 mins. ",https://www.amazon.in/ASIAN-BLADES-10-Running-Walking-Training/dp/B09QKYGY8S/ref=sr_1_106?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-106
149,Campus,Campus Men's Oslo PRO Running Shoes,₹999.00,30 Days Returns & Exchange,"FREE delivery Saturday, 26 November Or fastest delivery Tomorrow, November 25. Order within 1 hr 8 mins","FREE delivery Saturday, 26 November. Or fastest delivery Tomorrow, November 25. Order within 1 hr 8 mins. ",https://www.amazon.in/Campus-Mens-Oslo-Running-Shoes/dp/B08VWR8N7W/ref=sr_1_97?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-97
150,-,-,-,-,-,-,https://www.amazon.in/Birde-Orange-Walking-Running-BRD-406-GREY_8/dp/B09YLPX3Z5/ref=sr_1_98?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-98
151,Campus,Campus Men's North Plus Running Shoes,"₹1,189.00",30 Days Returns & Exchange,"FREE delivery November 28 - December 1
Select delivery location",FREE delivery November 28 - December 1,https://www.amazon.in/Campus-North-Running-Shoes-Yellow/dp/B08PS3HQ5T/ref=sr_1_99?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-99
152,Vellinto,Royal Look Shoes For Men ll Casual Shoes For Men ll Latest Patent Leather Boots for Men,₹699.00,30 Days Returns & Exchange,"FREE delivery Monday, 28 November","FREE delivery Monday, 28 November. ",https://www.amazon.in/Vellinto-Casual-Latest-Patent-Leather/dp/B08BK8YSXM/ref=sr_1_100?keywords=shoes&qid=1669305566&qu=eyJxc2MiOiIxMi4yMiIsInFzYSI6IjEyLjA1IiwicXNwIjoiOS42MyJ9&sr=8-100
